cat,major_name,acres,sq_miles,prod_year,source,HUC_8,HUC4,Shape_Leng,Shape_Area,major,n,s,e,w
1,"Lower Big Sioux River",326851,511,2023,"DNR Catchment Dataset","10170203","1017",228821.148474,1322724990.6,82,4908005,4822021.8875,248112.062,220833.1576
2,"Rock River",586118,916,2023,"DNR Catchment Dataset","10170204","1017",301480.097335,2371943576.76,83,4891617.3909,4819845.0661,285523.2193,224889.1719
3,"Little Sioux River",201741,315,2023,"DNR Catchment Dataset","10230003","1023",195848.484721,816419718.997,84,4841908.8101,4818460.6099,334978.3307,281237
4,"Des Moines River - Headwaters",798627,1248,2023,"DNR Catchment Dataset","07100001","0710",419774.307323,3231941029.62,51,4904833.9628,4827777.0456,341227.5924,250952.4858
5,"Lac Qui Parle River",487022,761,2023,"DNR Catchment Dataset","07020003","0702",288494.406388,1970915210.16,24,4999055.7885,4927239.9817,274958.2892,225332.0446
6,"Upper Big Sioux River",26459,41,2023,"DNR Catchment Dataset","10170202","1017",69033.349315,107075186.337,81,4926634.5685,4903726.5,235528.7218,224301.0554
7,"Redwood River",447531,699,2023,"DNR Catchment Dataset","07020006","0702",440703.619927,1811099878.24,27,4943122.3821,4889494.1054,334644.8006,229178.5938
8,"Cottonwood River",840712,1314,2023,"DNR Catchment Dataset","07020008","0702",481433.356775,3402252363.11,29,4926622.4863,4867923.2939,387203.707,260206.899
9,"Minnesota River - Yellow Medicine River",1332754,2082,2023,"DNR Catchment Dataset","07020004","0702",682745.791193,5393485740.05,25,5012672.7395,4914343.7484,354924.375,225298.7507
10,"Blue Earth River",777240,1214,2023,"DNR Catchment Dataset","07020009","0702",561690.928879,3145389577.06,30,4890626.2978,4816506.4289,456881.2542,334374.0173
11,"Lower Des Moines River",55733,87,2023,"DNR Catchment Dataset","07100002","0710",83769.6148922,225544618.46,52,4832295.0313,4817933.423,358725.5642,331691.5313
12,"East Fork Des Moines River",129425,202,2023,"DNR Catchment Dataset","07100003","0710",130474.683859,523766115.931,53,4844054.4727,4817533.3846,378348.417,340274.2876
13,"Watonwan River",558963,873,2023,"DNR Catchment Dataset","07020010","0702",341713.810518,2262050165.25,31,4894033.3438,4846491.1461,409772.9734,321713.1355
14,"Le Sueur River",711080,1111,2023,"DNR Catchment Dataset","07020011","0702",354885.106061,2877648907.57,32,4897686.4532,4835293.1723,474802.1291,405638.6226
15,"Minnesota River - Mankato",861921,1347,2023,"DNR Catchment Dataset","07020007","0702",739049.754964,3488082787.54,28,4954884.7147,4876423.1469,447540.9907,320249.2545
