cat,major_name,acres,sq_miles,prod_year,source,HUC_8,HUC4,Shape_Leng,Shape_Area,major,n,s,e,w
1,Lower Big Sioux River,326851,511,2023,DNR Catchment Dataset,10170203,1017,228821.148474,1322724990.6,82,4908105,4821921,248213,220733
2,Rock River,586118,916,2023,DNR Catchment Dataset,10170204,1017,301480.097335,2371943576.76,83,4891718,4819745,285624,224789
3,Little Sioux River,201741,315,2023,DNR Catchment Dataset,10230003,1023,195848.484721,816419718.997,84,4842009,4818360,335079,281137
4,Des Moines River - Headwaters,798627,1248,2023,DNR Catchment Dataset,07100001,0710,419774.307323,3231941029.62,51,4904934,4827677,341328,250852
5,Lac Qui Parle River,487022,761,2023,DNR Catchment Dataset,07020003,0702,288494.406388,1970915210.16,24,4999156,4927139,275059,225232
6,Upper Big Sioux River,26459,41,2023,DNR Catchment Dataset,10170202,1017,69033.349315,107075186.337,81,4926735,4903626,235629,224201
7,Redwood River,447531,699,2023,DNR Catchment Dataset,07020006,0702,440703.619927,1811099878.24,27,4943223,4889394,334745,229078
8,Cottonwood River,840712,1314,2023,DNR Catchment Dataset,07020008,0702,481433.356775,3402252363.11,29,4926723,4867823,387304,260106
9,Minnesota River - Yellow Medicine River,1332754,2082,2023,DNR Catchment Dataset,07020004,0702,682745.791193,5393485740.05,25,5012773,4914243,355025,225198
10,Blue Earth River,777240,1214,2023,DNR Catchment Dataset,07020009,0702,561690.928879,3145389577.06,30,4890727,4816406,456982,334274
11,Lower Des Moines River,55733,87,2023,DNR Catchment Dataset,07100002,0710,83769.6148922,225544618.46,52,4832396,4817833,358826,331591
12,East Fork Des Moines River,129425,202,2023,DNR Catchment Dataset,07100003,0710,130474.683859,523766115.931,53,4844155,4817433,378449,340174
13,Watonwan River,558963,873,2023,DNR Catchment Dataset,07020010,0702,341713.810518,2262050165.25,31,4894134,4846391,409873,321613
14,Le Sueur River,711080,1111,2023,DNR Catchment Dataset,07020011,0702,354885.106061,2877648907.57,32,4897787,4835193,474903,405538
15,Minnesota River - Mankato,861921,1347,2023,DNR Catchment Dataset,07020007,0702,739049.754964,3488082787.54,28,4954985,4876323,447641,320149
16,Lower Minnesota River,1174360,1835,2023,DNR Catchment Dataset,07020012,0702,582392.519293,4752486962.29,33,4977146,4907586,493086,362983
17,Minnesota River - Headwaters,501739,784,2023,DNR Catchment Dataset,07020001,0702,371204.265838,2030473383.91,22,5061013,4988625,279832,199123
18,Pomme de Terre River,560212,875,2023,DNR Catchment Dataset,07020002,0702,535193.988006,2267106713.34,23,5137197,5007175,303085,244867
